Table Name,State Code,District Code,Tehsil Code,Area Name,Total/ Rural/ Urban,Age-group,Total population - Persons,Total population - Males,Total population - Females,Population attending educational institutions - Persons,Population attending educational institutions - Males,Population attending educational institutions - Females,Type of educational institution - School - Persons,Type of educational institution - School - Males,Type of educational institution - School - Females,Type of educational institution - College - Persons,Type of educational institution - College - Males,Type of educational institution - College - Females,Type of educational institution - Vocational institute - Persons,Type of educational institution - Vocational institute - Males,Type of educational institution - Vocational institute - Females,Type of educational institution - Other institute - Persons,Type of educational institution - Other institute - Males,Type of educational institution - Other institute - Females,Type of educational institution - Literacy centre - Persons,Type of educational institution - Literacy centre - Males,Type of educational institution - Literacy centre - Females
C3010,01,00,0000,State - JAMMU & KASHMIR  01,Total,20-24,889969,476469,413500,172401,104715,67686,85554,52916,32638,81576,48530,33046,3683,2362,1321,1271,762,509,317,145,172
C3010,01,00,0000,State - JAMMU & KASHMIR  01,Total,25-29,789383,422668,366715,20803,13914,6889,0,0,0,16146,10748,5398,3002,2066,936,1373,964,409,282,136,146
C3010,01,00,0000,State - JAMMU & KASHMIR  01,Total,30-34,697138,378777,318361,5874,4236,1638,0,0,0,3780,2731,1049,1289,972,317,548,406,142,257,127,130
C3010,01,00,0000,State - JAMMU & KASHMIR  01,Total,35-59,2282065,1235516,1046549,9199,6814,2385,0,0,0,3652,2801,851,3253,2551,702,1416,1039,377,878,423,455
C3010,01,00,0000,State - JAMMU & KASHMIR  01,Total,60+,675324,365827,309497,1914,1285,629,0,0,0,896,584,312,561,415,146,229,160,69,228,126,102
C3010,01,00,0000,State - JAMMU & KASHMIR  01,Total,Age not stated,45715,24836,20879,487,307,180,0,0,0,354,221,133,66,44,22,46,32,14,21,10,11
C3010,01,00,0000,State - JAMMU & KASHMIR  01,Rural,All ages,7627062,3977652,3649410,1726467,999164,727303,1649951,947739,702212,64884,43640,21244,6542,4614,1928,3526,2441,1085,1564,730,834
C3010,01,00,0000,State - JAMMU & KASHMIR  01,Rural,0-4,790696,404720,385976,17374,9557,7817,17374,9557,7817,0,0,0,0,0,0,0,0,0,0,0,0
C3010,01,00,0000,State - JAMMU & KASHMIR  01,Rural,5,192900,98853,94047,27495,15301,12194,27495,15301,12194,0,0,0,0,0,0,0,0,0,0,0,0
C3010,01,00,0000,State - JAMMU & KASHMIR  01,Rural,6,231369,117236,114133,71943,39412,32531,71943,39412,32531,0,0,0,0,0,0,0,0,0,0,0,0
C3010,01,00,0000,State - JAMMU & KASHMIR  01,Rural,7,171613,87310,84303,95050,52269,42781,95050,52269,42781,0,0,0,0,0,0,0,0,0,0,0,0
C3010,01,00,0000,State - JAMMU & KASHMIR  01,Rural,8,257828,131577,126251,159535,88453,71082,159535,88453,71082,0,0,0,0,0,0,0,0,0,0,0,0
C3010,01,00,0000,State - JAMMU & KASHMIR  01,Rural,9,183644,93942,89702,127549,70253,57296,127549,70253,57296,0,0,0,0,0,0,0,0,0,0,0,0
C3010,01,00,0000,State - JAMMU & KASHMIR  01,Rural,10,290808,149858,140950,192696,108557,84139,192696,108557,84139,0,0,0,0,0,0,0,0,0,0,0,0
C3010,01,00,0000,State - JAMMU & KASHMIR  01,Rural,11,138926,72418,66508,103672,58470,45202,103672,58470,45202,0,0,0,0,0,0,0,0,0,0,0,0
C3010,01,00,0000,State - JAMMU & KASHMIR  01,Rural,12,263074,135123,127951,176909,101211,75698,176909,101211,75698,0,0,0,0,0,0,0,0,0,0,0,0
C3010,01,00,0000,State - JAMMU & KASHMIR  01,Rural,13,162134,82161,79973,112945,64043,48902,112945,64043,48902,0,0,0,0,0,0,0,0,0,0,0,0
C3010,01,00,0000,State - JAMMU & KASHMIR  01,Rural,14,208181,107099,101082,135883,79090,56793,135883,79090,56793,0,0,0,0,0,0,0,0,0,0,0,0
C3010,01,00,0000,State - JAMMU & KASHMIR  01,Rural,15-19,866386,444691,421695,392612,237556,155056,371137,224022,147115,19012,11963,7049,1207,713,494,1141,812,329,115,46,69
C3010,01,00,0000,State - JAMMU & KASHMIR  01,Rural,20-24,644484,339507,304977,95032,61808,33224,57763,37101,20662,34913,23219,11694,1473,998,475,660,388,272,223,102,121
C3010,01,00,0000,State - JAMMU & KASHMIR  01,Rural,25-29,560822,293086,267736,9405,6986,2419,0,0,0,7382,5541,1841,1307,977,330,524,377,147,192,91,101
C3010,01,00,0000,State - JAMMU & KASHMIR  01,Rural,30-34,488681,257102,231579,2733,2118,615,0,0,0,1652,1349,303,617,474,143,272,205,67,192,90,102
C3010,01,00,0000,State - JAMMU & KASHMIR  01,Rural,35-59,1625717,863871,761846,4442,3293,1149,0,0,0,1440,1236,204,1607,1223,384,762,548,214,633,286,347
C3010,01,00,0000,State - JAMMU & KASHMIR  01,Rural,60+,515262,280676,234586,955,631,324,0,0,0,331,229,102,295,205,90,135,88,47,194,109,85
C3010,01,00,0000,State - JAMMU & KASHMIR  01,Rural,Age not stated,34537,18422,16115,237,156,81,0,0,0,154,103,51,36,24,12,32,23,9,15,6,9
C3010,01,00,0000,State - JAMMU & KASHMIR  01,Urban,All ages,2516638,1383274,1133364,736976,398304,338672,640740,343893,296847,84351,46343,38008,8092,5529,2563,3190,2210,980,603,329,274
C3010,01,00,0000,State - JAMMU & KASHMIR  01,Urban,0-4,172907,92464,80443,14516,7713,6803,14516,7713,6803,0,0,0,0,0,0,0,0,0,0,0,0
C3010,01,00,0000,State - JAMMU & KASHMIR  01,Urban,5,44828,23888,20940,16319,8844,7475,16319,8844,7475,0,0,0,0,0,0,0,0,0,0,0,0
C3010,01,00,0000,State - JAMMU & KASHMIR  01,Urban,6,53103,28233,24870,29096,15620,13476,29096,15620,13476,0,0,0,0,0,0,0,0,0,0,0,0
C3010,01,00,0000,State - JAMMU & KASHMIR  01,Urban,7,45704,24177,21527,36133,19445,16688,36133,19445,16688,0,0,0,0,0,0,0,0,0,0,0,0
C3010,01,00,0000,State - JAMMU & KASHMIR  01,Urban,8,63834,33802,30032,52710,28368,24342,52710,28368,24342,0,0,0,0,0,0,0,0,0,0,0,0
C3010,01,00,0000,State - JAMMU & KASHMIR  01,Urban,9,47940,25462,22478,41340,22379,18961,41340,22379,18961,0,0,0,0,0,0,0,0,0,0,0,0
C3010,01,00,0000,State - JAMMU & KASHMIR  01,Urban,10,77464,41014,36450,65300,35161,30139,65300,35161,30139,0,0,0,0,0,0,0,0,0,0,0,0
C3010,01,00,0000,State - JAMMU & KASHMIR  01,Urban,11,39793,20977,18816,35288,18910,16378,35288,18910,16378,0,0,0,0,0,0,0,0,0,0,0,0
C3010,01,00,0000,State - JAMMU & KASHMIR  01,Urban,12,70530,37173,33357,59998,32218,27780,59998,32218,27780,0,0,0,0,0,0,0,0,0,0,0,0
C3010,01,00,0000,State - JAMMU & KASHMIR  01,Urban,13,48223,24710,23513,41771,21805,19966,41771,21805,19966,0,0,0,0,0,0,0,0,0,0,0,0
C3010,01,00,0000,State - JAMMU & KASHMIR  01,Urban,14,61526,32304,29222,51575,27704,23871,51575,27704,23871,0,0,0,0,0,0,0,0,0,0,0,0
C3010,01,00,0000,State - JAMMU & KASHMIR  01,Urban,15-19,280695,147641,133054,195056,103858,91198,168903,89911,78992,23819,12405,11414,1573,1020,553,692,476,216,69,46,23
C3010,01,00,0000,State - JAMMU & KASHMIR  01,Urban,20-24,245485,136962,108523,77369,42907,34462,27791,15815,11976,46663,25311,21352,2210,1364,846,611,374,237,94,43,51
C3010,01,00,0000,State - JAMMU & KASHMIR  01,Urban,25-29,228561,129582,98979,11398,6928,4470,0,0,0,8764,5207,3557,1695,1089,606,849,587,262,90,45,45
C3010,01,00,0000,State - JAMMU & KASHMIR  01,Urban,30-34,208457,121675,86782,3141,2118,1023,0,0,0,2128,1382,746,672,498,174,276,201,75,65,37,28
C3010,01,00,0000,State - JAMMU & KASHMIR  01,Urban,35-59,656348,371645,284703,4757,3521,1236,0,0,0,2212,1565,647,1646,1328,318,654,491,163,245,137,108
C3010,01,00,0000,State - JAMMU & KASHMIR  01,Urban,60+,160062,85151,74911,959,654,305,0,0,0,565,355,210,266,210,56,94,72,22,34,17,17
C3010,01,00,0000,State - JAMMU & KASHMIR  01,Urban,Age not stated,11178,6414,4764,250,151,99,0,0,0,200,118,82,30,20,10,14,9,5,6,4,2
C3010,02,00,0000,State - HIMACHAL PRADESH  02,Total,All ages,6077900,3087940,2989960,1708015,911750,796265,1570152,832698,737454,116163,66099,50064,10800,6984,3816,7827,4815,3012,3073,1154,1919
C3010,02,00,0000,State - HIMACHAL PRADESH  02,Total,0-4,560187,296555,263632,9896,5497,4399,9896,5497,4399,0,0,0,0,0,0,0,0,0,0,0,0
C3010,02,00,0000,State - HIMACHAL PRADESH  02,Total,5,123996,65408,58588,26057,14269,11788,26057,14269,11788,0,0,0,0,0,0,0,0,0,0,0,0
C3010,02,00,0000,State - HIMACHAL PRADESH  02,Total,6,108954,56463,52491,65978,34947,31031,65978,34947,31031,0,0,0,0,0,0,0,0,0,0,0,0
C3010,02,00,0000,State - HIMACHAL PRADESH  02,Total,7,117677,61554,56123,108169,57166,51003,108169,57166,51003,0,0,0,0,0,0,0,0,0,0,0,0
C3010,02,00,0000,State - HIMACHAL PRADESH  02,Total,8,137680,71958,65722,130640,68804,61836,130640,68804,61836,0,0,0,0,0,0,0,0,0,0,0,0
C3010,02,00,0000,State - HIMACHAL PRADESH  02,Total,9,130857,67675,63182,126648,65812,60836,126648,65812,60836,0,0,0,0,0,0,0,0,0,0,0,0
C3010,02,00,0000,State - HIMACHAL PRADESH  02,Total,10,151321,78154,73167,145149,75530,69619,145149,75530,69619,0,0,0,0,0,0,0,0,0,0,0,0
C3010,02,00,0000,State - HIMACHAL PRADESH  02,Total,11,127690,65993,61697,123785,64335,59450,123785,64335,59450,0,0,0,0,0,0,0,0,0,0,0,0
C3010,02,00,0000,State - HIMACHAL PRADESH  02,Total,12,152423,78352,74071,145059,75328,69731,145059,75328,69731,0,0,0,0,0,0,0,0,0,0,0,0
C3010,02,00,0000,State - HIMACHAL PRADESH  02,Total,13,134792,67786,67006,127441,65053,62388,127441,65053,62388,0,0,0,0,0,0,0,0,0,0,0,0
C3010,02,00,0000,State - HIMACHAL PRADESH  02,Total,14,138813,70972,67841,126676,66233,60443,126676,66233,60443,0,0,0,0,0,0,0,0,0,0,0,0
C3010,02,00,0000,State - HIMACHAL PRADESH  02,Total,15-19,626624,324318,302306,439892,238039,201853,398532,216543,181989,36775,18929,17846,2694,1547,1147,1784,979,805,107,41,66
C3010,02,00,0000,State - HIMACHAL PRADESH  02,Total,20-24,583029,295703,287326,115075,69422,45653,36122,23181,12941,71559,41685,29874,4402,2928,1474,2684,1514,1170,308,114,194
C3010,02,00,0000,State - HIMACHAL PRADESH  02,Total,25-29,517507,256532,260975,10555,7221,3334,0,0,0,5879,4168,1711,2108,1476,632,2213,1460,753,355,117,238
C3010,02,00,0000,State - HIMACHAL PRADESH  02,Total,30-34,432675,215401,217274,2114,1324,790,0,0,0,702,487,215,495,339,156,527,383,144,390,115,275
C3010,02,00,0000,State - HIMACHAL PRADESH  02,Total,35-59,1471395,736070,735325,3568,1960,1608,0,0,0,740,519,221,826,525,301,480,374,106,1522,542,980
C3010,02,00,0000,State - HIMACHAL PRADESH  02,Total,60+,547564,270846,276718,1161,713,448,0,0,0,438,275,163,242,142,100,93,72,21,388,224,164
C3010,02,00,0000,State - HIMACHAL PRADESH  02,Total,Age not stated,14716,8200,6516,152,97,55,0,0,0,70,36,34,33,27,6,46,33,13,3,1,2
C3010,02,00,0000,State - HIMACHAL PRADESH  02,Rural,All ages,5482319,2756073,2726246,1530320,815709,714611,1427415,755685,671730,86474,50392,36082,7732,4974,2758,5818,3599,2219,2881,1059,1822
C3010,02,00,0000,State - HIMACHAL PRADESH  02,Rural,0-4,517539,273478,244061,6968,3878,3090,6968,3878,3090,0,0,0,0,0,0,0,0,0,0,0,0
C3010,02,00,0000,State - HIMACHAL PRADESH  02,Rural,5,113628,59692,53936,21828,11919,9909,21828,11919,9909,0,0,0,0,0,0,0,0,0,0,0,0
C3010,02,00,0000,State - HIMACHAL PRADESH  02,Rural,6,99461,51364,48097,59902,31663,28239,59902,31663,28239,0,0,0,0,0,0,0,0,0,0,0,0
C3010,02,00,0000,State - HIMACHAL PRADESH  02,Rural,7,107112,55856,51256,98338,51830,46508,98338,51830,46508,0,0,0,0,0,0,0,0,0,0,0,0
C3010,02,00,0000,State - HIMACHAL PRADESH  02,Rural,8,126072,65571,60501,119683,62738,56945,119683,62738,56945,0,0,0,0,0,0,0,0,0,0,0,0
C3010,02,00,0000,State - HIMACHAL PRADESH  02,Rural,9,120131,61834,58297,116344,60197,56147,116344,60197,56147,0,0,0,0,0,0,0,0,0,0,0,0
C3010,02,00,0000,State - HIMACHAL PRADESH  02,Rural,10,138386,71164,67222,132841,68844,63997,132841,68844,63997,0,0,0,0,0,0,0,0,0,0,0,0
C3010,02,00,0000,State - HIMACHAL PRADESH  02,Rural,11,116769,60149,56620,113231,58674,54557,113231,58674,54557,0,0,0,0,0,0,0,0,0,0,0,0
C3010,02,00,0000,State - HIMACHAL PRADESH  02,Rural,12,139686,71539,68147,132948,68868,64080,132948,68868,64080,0,0,0,0,0,0,0,0,0,0,0,0
C3010,02,00,0000,State - HIMACHAL PRADESH  02,Rural,13,123195,61585,61610,116380,59147,57233,116380,59147,57233,0,0,0,0,0,0,0,0,0,0,0,0
C3010,02,00,0000,State - HIMACHAL PRADESH  02,Rural,14,126959,64676,62283,115660,60436,55224,115660,60436,55224,0,0,0,0,0,0,0,0,0,0,0,0
C3010,02,00,0000,State - HIMACHAL PRADESH  02,Rural,15-19,564788,289354,275434,391889,212859,179030,360397,196221,164176,28045,14776,13269,1924,1064,860,1433,764,669,90,34,56
